#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
8500,2017-01-16 04:18:12.64,40.831501,14.13533,1.53,D,-1.1,0.3,flegrei,earthquake,Bollettino
8499,2017-01-16 04:18:16.43,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
8468,2017-01-24 22:08:30.64,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
8467,2017-01-24 22:09:22.03,,,,D,0.4,0.3,flegrei,earthquake,Bollettino
8466,2017-01-24 22:59:56.58,40.819,14.13383,0.89,D,0.4,0.3,flegrei,earthquake,Bollettino
8401,2017-02-08 04:00:01.65,40.823502,14.13783,1.57,D,0.2,0.3,flegrei,earthquake,Bollettino
8385,2017-02-15 20:44:39.14,40.82267,14.14667,0.47,D,-0.5,0.3,flegrei,earthquake,Bollettino
8372,2017-02-21 18:40:41.67,40.828331,14.14133,0.82,D,-1.1,0.3,flegrei,earthquake,Bollettino
8367,2017-02-26 00:29:06.46,40.824501,14.14267,0.8,D,-0.8,0.3,flegrei,earthquake,Bollettino
8366,2017-02-26 00:32:26.72,40.824001,14.14483,0.78,D,-0.3,0.3,flegrei,earthquake,Bollettino
8273,2017-03-24 22:17:09.4,40.828171,14.13267,1.74,D,-0.3,0.3,flegrei,earthquake,Bollettino
8272,2017-03-24 22:18:03.93,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
8271,2017-03-24 22:20:39.97,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
8270,2017-03-24 22:21:00.24,40.825161,14.13317,0.91,D,-0.5,0.3,flegrei,earthquake,Bollettino
8269,2017-03-24 22:22:35.72,40.826672,14.1305,0.95,D,0.2,0.3,flegrei,earthquake,Bollettino
8268,2017-03-24 22:22:48.31,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
8267,2017-03-24 22:23:31.95,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
8266,2017-03-24 22:40:06.26,40.826328,14.131,1.49,D,0.1,0.3,flegrei,earthquake,Bollettino
8265,2017-03-24 22:41:19.36,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
8264,2017-03-24 22:43:45.2,40.827171,14.13083,1.15,D,0.5,0.3,flegrei,earthquake,Bollettino
8263,2017-03-25 03:04:44.32,40.827332,14.1355,1.64,D,0.1,0.3,flegrei,earthquake,Bollettino
8199,2017-04-19 09:53:18.89,40.825329,14.14117,0.91,D,0.2,0.3,flegrei,earthquake,Bollettino
8190,2017-04-23 22:25:18.52,40.831001,14.14217,0.72,D,0.1,0.3,flegrei,earthquake,Bollettino
8140,2017-05-08 06:48:22.54,40.827839,14.141,1.5,D,0.1,0.3,flegrei,earthquake,Bollettino
8139,2017-05-09 00:08:00.42,40.826172,14.14133,1.39,D,0.4,0.3,flegrei,earthquake,Bollettino
8138,2017-05-09 00:08:01.08,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
8137,2017-05-09 00:08:40.07,40.828331,14.1415,1.08,D,-0.5,0.3,flegrei,earthquake,Bollettino
8136,2017-05-09 00:10:52.24,40.82917,14.13867,1.26,D,-1.1,0.3,flegrei,earthquake,Bollettino
8135,2017-05-09 00:10:55.35,40.82917,14.144,1.29,D,0.1,0.3,flegrei,earthquake,Bollettino
8026,2017-06-14 13:58:46.41,,,,,,,flegrei,earthquake,Bollettino
8025,2017-06-14 13:58:47.59,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
8024,2017-06-14 13:59:01.19,,,,,,,flegrei,earthquake,Bollettino
8023,2017-06-14 13:59:03.61,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
8022,2017-06-14 14:00:18.68,40.828171,14.14183,1.04,D,0.4,0.3,flegrei,earthquake,Bollettino
8021,2017-06-14 14:12:59.81,40.827171,14.14083,1.18,D,-0.1,0.3,flegrei,earthquake,Bollettino
8005,2017-06-21 05:21:15.19,40.820332,14.14,1.08,D,-0.3,0.3,flegrei,earthquake,Bollettino
8004,2017-06-21 05:49:44.77,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
7989,2017-07-01 07:59:00.47,,,,,,,flegrei,earthquake,Bollettino
7988,2017-07-01 07:59:02.11,40.840672,14.13467,1.49,D,0.4,0.3,flegrei,earthquake,Bollettino
7987,2017-07-01 07:59:49.04,40.83783,14.13417,1.07,D,-0.1,0.3,flegrei,earthquake,Bollettino
7986,2017-07-01 13:30:30.29,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
7985,2017-07-01 13:30:43.18,40.837002,14.13633,1.6,D,-0.1,0.3,flegrei,earthquake,Bollettino
7937,2017-07-16 02:30:05.37,40.821671,14.13483,1.18,D,0.1,0.3,flegrei,earthquake,Bollettino
7936,2017-07-16 02:31:00.28,40.821171,14.13317,1.07,D,-0.1,0.3,flegrei,earthquake,Bollettino
7935,2017-07-16 02:36:32.34,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
7933,2017-07-17 17:14:26.36,40.824329,14.1435,0.83,D,0.7,0.3,flegrei,earthquake,Bollettino
7932,2017-07-17 17:20:29.36,40.823002,14.14667,0.59,D,0.1,0.3,flegrei,earthquake,Bollettino
7912,2017-07-20 14:57:30.8,40.837502,14.14433,1.05,D,-0.5,0.3,flegrei,earthquake,Bollettino
7891,2017-07-28 12:59:53.16,40.820332,14.13833,1.56,D,0.4,0.3,flegrei,earthquake,Bollettino
7890,2017-07-28 19:21:37.47,40.824829,14.14033,0.53,D,-0.1,0.3,flegrei,earthquake,Bollettino
7889,2017-07-28 19:30:16.83,40.823669,14.142,0.91,D,-0.5,0.3,flegrei,earthquake,Bollettino
7865,2017-08-05 01:03:35.22,,,,,,,flegrei,earthquake,Bollettino
7864,2017-08-05 01:03:38.04,40.824001,14.144,0.53,D,0.4,0.3,flegrei,earthquake,Bollettino
7863,2017-08-05 01:04:22.32,40.82267,14.14483,0.57,D,-0.5,0.3,flegrei,earthquake,Bollettino
7862,2017-08-05 01:05:48.15,,,,,,,flegrei,earthquake,Bollettino
7861,2017-08-05 01:08:29.04,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
