#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
2601,2020-01-03 13:49:45.98,40.825161,14.14017,0.75,D,-0.5,0.3,flegrei,earthquake,Bollettino
12882,2020-01-03 20:39:40.47,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
2602,2020-01-05 13:22:07.18,40.827171,14.14133,0.75,D,-0.8,0.3,flegrei,earthquake,Bollettino
2598,2020-01-06 19:29:00.05,40.809502,14.13333,2.12,D,0.5,0.3,flegrei,earthquake,Bollettino
2599,2020-01-06 23:07:39.78,40.840328,14.146,1.76,D,0.5,0.3,flegrei,earthquake,Bollettino
2619,2020-01-10 01:06:26.63,40.823502,14.14517,0.52,D,-0.5,0.3,flegrei,earthquake,Bollettino
2620,2020-01-10 01:08:00.21,40.82317,14.14667,0.81,D,0.1,0.3,flegrei,earthquake,Bollettino
2608,2020-01-10 01:42:10.44,40.8255,14.14817,1.17,D,0.9,0.3,flegrei,earthquake,Bollettino
2616,2020-01-12 21:13:41.18,40.828671,14.14067,0.67,D,0.2,0.3,flegrei,earthquake,Bollettino
12867,2020-01-12 21:21:50.5,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
2621,2020-01-12 22:36:39.05,40.832329,14.1395,0.69,D,-0.3,0.3,flegrei,earthquake,Bollettino
2617,2020-01-12 23:43:23.99,40.827671,14.14017,0.81,D,0.6,0.3,flegrei,earthquake,Bollettino
2622,2020-01-13 18:07:49.26,40.82983,14.14,0.63,D,0.2,0.3,flegrei,earthquake,Bollettino
2623,2020-01-14 04:46:09.85,40.826672,14.14283,0.96,D,-0.3,0.3,flegrei,earthquake,Bollettino
2659,2020-01-14 20:28:02.67,40.827171,14.136,1.42,D,-0.8,0.3,flegrei,earthquake,Bollettino
12862,2020-01-14 23:38:31.69,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
12861,2020-01-14 23:38:39.58,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
12860,2020-01-14 23:38:46.34,,,,,,,flegrei,earthquake,Bollettino
12859,2020-01-14 23:38:51.48,,,,,,,flegrei,earthquake,Bollettino
12858,2020-01-14 23:38:54.34,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
2629,2020-01-14 23:39:02.68,40.823669,14.14017,0.96,D,-0.3,0.3,flegrei,earthquake,Bollettino
12857,2020-01-14 23:39:39.92,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
2641,2020-01-14 23:39:44.57,40.823669,14.14117,1.24,D,-0.1,0.3,flegrei,earthquake,Bollettino
12856,2020-01-14 23:39:52,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
2665,2020-01-14 23:44:32.98,40.826172,14.1395,1.28,D,-0.8,0.3,flegrei,earthquake,Bollettino
2666,2020-01-14 23:45:41.25,40.824501,14.14083,1.06,D,-0.1,0.3,flegrei,earthquake,Bollettino
12855,2020-01-14 23:46:52.23,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
2667,2020-01-14 23:46:55.5,40.825161,14.13867,1.4,D,-0.5,0.3,flegrei,earthquake,Bollettino
