#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
11575,2019-01-02 23:30:22.81,40.821999,14.1435,0.42,D,0.8,0.3,flegrei,earthquake,Bollettino
11574,2019-01-02 23:30:39.43,40.824501,14.14217,0.55,D,0.6,0.3,flegrei,earthquake,Bollettino
11573,2019-01-03 17:35:18.56,40.830002,14.14283,1.29,D,-0.5,0.3,flegrei,earthquake,Bollettino
11572,2019-01-03 17:35:24.28,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
991,2019-01-06 04:13:21.25,40.837669,14.13633,1.12,D,0.7,0.3,flegrei,earthquake,Bollettino
992,2019-01-06 04:14:12.23,40.837502,14.1385,1.06,D,0.5,0.3,flegrei,earthquake,Bollettino
993,2019-01-06 15:46:01.66,40.7939,14.1263,2.47,,,,flegrei,earthquake,Automatico
1002,2019-01-10 00:28:05.39,40.7481,14.3432,8.63,,,,flegrei,earthquake,Automatico
1004,2019-01-10 00:28:09.029,40.846,14.1835,2.56,D,2.0,0.3,flegrei,earthquake,Bollettino
1010,2019-01-13 23:16:01.55,40.82117,14.13717,0.88,D,0.2,0.3,flegrei,earthquake,Bollettino
11555,2019-01-14 02:44:31.38,40.820671,14.13667,0.65,D,-0.3,0.3,flegrei,earthquake,Bollettino
11554,2019-01-14 02:44:40.84,40.82233,14.13617,1.06,D,0.1,0.3,flegrei,earthquake,Bollettino
11553,2019-01-14 05:44:07.93,40.821499,14.14267,0.85,D,0.1,0.3,flegrei,earthquake,Bollettino
11552,2019-01-14 05:51:34.14,40.821831,14.137,1.06,D,-0.1,0.3,flegrei,earthquake,Bollettino
11551,2019-01-14 17:16:28.96,40.821499,14.1395,1.18,D,-0.3,0.3,flegrei,earthquake,Bollettino
11550,2019-01-14 17:16:38.83,40.82283,14.13567,1.3,D,-0.1,0.3,flegrei,earthquake,Bollettino
11549,2019-01-14 17:42:18.3,40.82333,14.13683,1.1,D,-0.3,0.3,flegrei,earthquake,Bollettino
11548,2019-01-15 04:53:25.35,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
11538,2019-01-18 18:48:08.08,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
11537,2019-01-18 18:48:41.18,40.824501,14.14433,0.61,D,-0.1,0.3,flegrei,earthquake,Bollettino
11536,2019-01-18 18:48:46.07,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
11535,2019-01-18 18:48:48.52,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
1093,2019-01-18 18:49:49.72,40.824,14.14367,0.65,D,0.2,0.3,flegrei,earthquake,Bollettino
11534,2019-01-18 18:49:57.78,40.825829,14.14533,0.6,D,-0.8,0.3,flegrei,earthquake,Bollettino
11533,2019-01-18 18:50:01.43,40.82383,14.14717,0.52,D,0.1,0.3,flegrei,earthquake,Bollettino
11532,2019-01-18 18:50:32.39,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
11531,2019-01-18 18:50:55.04,40.828671,14.14367,0.67,D,-0.8,0.3,flegrei,earthquake,Bollettino
11530,2019-01-18 18:54:17.7,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
11529,2019-01-18 19:12:11.42,40.824669,14.1445,0.58,D,0.1,0.3,flegrei,earthquake,Bollettino
11528,2019-01-18 19:20:16.15,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
11522,2019-01-20 09:31:11.97,40.827999,14.14117,0.73,D,-0.3,0.3,flegrei,earthquake,Bollettino
11511,2019-01-30 17:02:11.34,40.824829,14.14667,0.65,D,-0.8,0.3,flegrei,earthquake,Bollettino
11510,2019-01-30 17:02:37.28,40.82283,14.14467,0.91,D,-0.1,0.3,flegrei,earthquake,Bollettino
11509,2019-01-30 17:02:47.54,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
11508,2019-01-30 17:03:25.94,40.825329,14.14733,0.84,D,-0.3,0.3,flegrei,earthquake,Bollettino
11507,2019-01-30 17:10:29.58,40.824169,14.15167,1.4,D,-0.1,0.3,flegrei,earthquake,Bollettino
11506,2019-01-30 17:17:38.12,40.82333,14.15167,1.34,D,-0.5,0.3,flegrei,earthquake,Bollettino
11505,2019-01-30 17:22:39.62,40.824329,14.14783,1.09,D,0.2,0.3,flegrei,earthquake,Bollettino
1057,2019-02-08 14:45:58.86,40.826,14.143,0.71,D,0.2,0.3,flegrei,earthquake,Bollettino
1067,2019-02-08 14:47:08.7,40.825329,14.1415,0.81,D,-0.5,0.3,flegrei,earthquake,Bollettino
1068,2019-02-08 18:20:50.01,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
1069,2019-02-10 03:37:44.44,40.821671,14.12917,1.64,D,0.5,0.3,flegrei,earthquake,Bollettino
1083,2019-02-14 16:21:49.58,40.825161,14.14333,1.05,D,0.1,0.3,flegrei,earthquake,Bollettino
1084,2019-02-14 16:22:29.84,40.825329,14.143,0.97,D,-0.3,0.3,flegrei,earthquake,Bollettino
1085,2019-02-17 23:44:56.19,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
1080,2019-02-17 23:48:58.16,40.827,14.12733,1.59,D,0.1,0.3,flegrei,earthquake,Bollettino
1081,2019-02-18 01:36:43.72,40.826328,14.127,1.28,D,0.4,0.3,flegrei,earthquake,Bollettino
1090,2019-02-18 22:14:58.97,40.831329,14.1445,1.29,D,-0.1,0.3,flegrei,earthquake,Bollettino
1099,2019-02-19 11:31:06.47,,,,,,,flegrei,earthquake,Bollettino
1100,2019-02-19 11:31:08.83,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
1091,2019-02-19 11:32:14.86,40.824669,14.14017,0.64,D,-0.3,0.3,flegrei,earthquake,Bollettino
1102,2019-02-20 15:12:18.82,40.831329,14.14733,1.47,D,-0.3,0.3,flegrei,earthquake,Bollettino
11470,2019-02-21 14:49:23.2,40.828831,14.14233,0.47,D,-1.6,0.3,flegrei,earthquake,Bollettino
11469,2019-02-21 14:49:27.7,40.82917,14.1425,0.66,D,-1.1,0.3,flegrei,earthquake,Bollettino
11466,2019-02-22 21:42:49.37,40.82333,14.14017,1.02,D,-0.3,0.3,flegrei,earthquake,Bollettino
11465,2019-02-22 21:45:32.33,40.82,14.13867,0.3,D,0.4,0.3,flegrei,earthquake,Bollettino
11464,2019-02-22 21:49:15.42,40.821331,14.13833,0.94,D,-0.3,0.3,flegrei,earthquake,Bollettino
11463,2019-02-22 21:49:23.48,40.819172,14.14383,0.75,D,-0.5,0.3,flegrei,earthquake,Bollettino
11462,2019-02-22 21:49:36.13,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
1110,2019-02-22 21:51:27.99,40.820999,14.14017,1.02,D,0.5,0.3,flegrei,earthquake,Bollettino
1111,2019-02-22 22:14:45.06,40.820839,14.137,0.86,D,0.8,0.3,flegrei,earthquake,Bollettino
11461,2019-02-22 22:15:09.02,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
1112,2019-02-22 22:40:11.52,40.821171,14.13967,0.91,D,0.1,0.3,flegrei,earthquake,Bollettino
11460,2019-02-22 22:40:35.44,40.82,14.13833,1.4,D,-0.1,0.3,flegrei,earthquake,Bollettino
11459,2019-02-24 13:16:53.09,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
11458,2019-02-24 17:50:32.53,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
11456,2019-02-25 17:44:19.07,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
11455,2019-02-25 17:47:34.68,40.831329,14.15167,1.42,D,0.4,0.3,flegrei,earthquake,Bollettino
1114,2019-02-25 23:25:54.26,40.820839,14.13067,1.65,D,1.0,0.3,flegrei,earthquake,Bollettino
11453,2019-02-26 19:12:18.02,40.8265,14.13917,1.02,D,-1.1,0.3,flegrei,earthquake,Bollettino
11452,2019-02-26 22:40:06.92,40.831501,14.14017,1.46,D,-0.5,0.3,flegrei,earthquake,Bollettino
11450,2019-02-28 03:19:30.8,,,,,,,flegrei,earthquake,Bollettino
11449,2019-02-28 03:19:48.23,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
